Node: Men	Full URL: /men
Node: Nike React Phantom Run Flyknit 2	Full URL: /men/nike-react-phantom-run-flyknit-2-179
Node: Size X	Full URL: /men/nike-react-phantom-run-flyknit-2-179?size=4
Node: Color Black	Full URL: /men/nike-react-phantom-run-flyknit-2-179?size=4&color=14
Node: Cart	Full URL: /cart
Node: Home	Full URL: /
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
Node: Cart	Full URL: /cart
Node: Checkout	Full URL: /cart/checkout
